zipcode,year,month,crime_rate
02126,2016,6,0.0142
02126,2016,7,0.0126
02126,2016,8,0.0143
02126,2016,9,0.0133
02126,2016,10,0.0124
02126,2016,11,0.0133
02126,2016,12,0.0128
02126,2017,1,0.0127
02126,2017,2,0.0118
02126,2017,3,0.0135
02126,2017,4,0.0125
02126,2017,5,0.0127
02126,2017,6,0.0138
02126,2017,7,0.0133
02126,2017,8,0.016
02126,2017,9,0.0126
02126,2017,10,0.0136
02126,2017,11,0.0133
02126,2017,12,0.0119
02126,2018,1,0.0132
02126,2018,2,0.0114
02126,2018,3,0.0127
02126,2018,4,0.0124
02126,2018,5,0.015
02126,2018,6,0.0151
02126,2018,7,0.0153
02126,2018,8,0.0146
02126,2018,9,0.0129
02126,2018,10,0.0012
02127,2015,6,0.0061
02127,2015,7,0.0128
02127,2015,8,0.0123
02127,2015,9,0.0126
02127,2015,10,0.0121
02127,2015,11,0.0109
02127,2015,12,0.0111
02127,2016,1,0.0114
02127,2016,2,0.0116
02127,2016,3,0.0156
02127,2016,4,0.0112
02127,2016,5,0.0116
02127,2016,6,0.0111
02127,2016,7,0.0107
02127,2016,8,0.0095
02127,2016,9,0.0103
02127,2016,10,0.0123
02127,2016,11,0.0104
02127,2016,12,0.0107
02127,2017,1,0.011
02127,2017,2,0.0084
02127,2017,3,0.0121
02127,2017,4,0.0118
02127,2017,5,0.0112
02127,2017,6,0.0138
02127,2017,7,0.0109
02127,2017,8,0.0109
02127,2017,9,0.0128
02127,2017,10,0.0128
02127,2017,11,0.0089
02127,2017,12,0.01
02127,2018,1,0.0116
02127,2018,2,0.0095
02127,2018,3,0.0096
02127,2018,4,0.0114
02127,2018,5,0.0112
02127,2018,6,0.0118
02127,2018,7,0.0101
02127,2018,8,0.0148
02127,2018,9,0.0107
02127,2018,10,0.0007
02128,2015,6,0.0007
02128,2015,7,0.0014
02128,2015,8,0.002
02128,2015,9,0.0016
02128,2015,10,0.0015
02128,2015,11,0.0015
02128,2015,12,0.0012
02128,2016,1,0.0013
02128,2016,2,0.0011
02128,2016,3,0.001
02128,2016,4,0.0012
02128,2016,5,0.0014
02128,2016,6,0.0015
02128,2016,7,0.0013
02128,2016,8,0.0015
02128,2016,9,0.001
02128,2016,10,0.0012
02128,2016,11,0.0015
02128,2016,12,0.0014
02128,2017,1,0.0011
02128,2017,2,0.0013
02128,2017,3,0.0016
02128,2017,4,0.0016
02128,2017,5,0.0013
02128,2017,6,0.0012
02128,2017,7,0.0013
02128,2017,8,0.0018
02128,2017,9,0.0012
02128,2017,10,0.0012
02128,2017,11,0.0011
02128,2017,12,0.0014
02128,2018,1,0.0013
02128,2018,2,0.0013
02128,2018,3,0.0014
02128,2018,4,0.001
02128,2018,5,0.0016
02128,2018,6,0.0014
02128,2018,7,0.0014
02128,2018,8,0.0012
02128,2018,9,0.0011
02128,2018,10,0.0001
02129,2015,6,0.0037
02129,2015,7,0.0081
02129,2015,8,0.0064
02129,2015,9,0.0074
02129,2015,10,0.0062
02129,2015,11,0.0064
02129,2015,12,0.006
