quarter,quarter_cnt,UCR_PART,Zip
2018Q4,2,"Part One",2135
2018Q4,9,"Part One",2124
2018Q4,2,"Part One",2115
2018Q4,1,"Part One",2222
2018Q4,1,"Part One",2129
2018Q4,1,"Part One",2132
2018Q4,1,"Part One",2113
2018Q4,1,"Part One",2117
2018Q4,1,"Part One",2128
2018Q4,1,"Part One",2026
2018Q4,3,"Part One",2122
2018Q4,3,"Part One",2134
2018Q4,1,"Part One",2131
2018Q4,1,"Part One",2137
2018Q4,1,"Part One",2108
2018Q4,1,"Part One",2120
