zipcode,year,UCR_PART,crime_rate
02215,2016,"Part Two",0.0109
02215,2017,Other,0.0002
02215,2017,"Part One",0.0104
02215,2017,"Part Three",0.0198
02215,2017,"Part Two",0.0109
02215,2018,Other,0.0002
02215,2018,"Part One",0.0094
02215,2018,"Part Three",0.0156
02215,2018,"Part Two",0.0083
02445,2015,Other,0.0000
02445,2015,"Part One",0.0029
02445,2015,"Part Three",0.0062
02445,2015,"Part Two",0.0022
02445,2016,"Part One",0.0044
02445,2016,"Part Three",0.0139
02445,2016,"Part Two",0.0060
02445,2017,Other,0.0000
02445,2017,"Part One",0.0046
02445,2017,"Part Three",0.0155
02445,2017,"Part Two",0.0063
02445,2018,"Part One",0.0031
02445,2018,"Part Three",0.0107
02445,2018,"Part Two",0.0041
02446,2015,"Part One",0.0002
02446,2015,"Part Three",0.0005
02446,2015,"Part Two",0.0003
02446,2016,Other,0.0000
02446,2016,"Part One",0.0006
02446,2016,"Part Three",0.0010
02446,2016,"Part Two",0.0004
02446,2017,"Part One",0.0002
02446,2017,"Part Three",0.0010
02446,2017,"Part Two",0.0005
02446,2018,"Part One",0.0002
02446,2018,"Part Three",0.0008
02446,2018,"Part Two",0.0003
